Jerzego Szmajdzińskiego;Jerzego;Szmajdzińskiego
Jerzego Turowicza;Jerzego;Turowicza
Jerzego Wasowskiego;Jerzego;Wasowskiego
Jerzego Waszyngtona;Jerzego;Waszyngtona
Jędrzeja Moraczewskiego;Jędrzeja;Moraczewskiego
Joachima Lelewela;Joachima;Lelewela
Jonasza Kofty;Jonasza;Kofty
Józefa Becka;Józefa;Becka
Józefa Czechowicza;Józefa;Czechowicza
Józefa Lompy;Józefa;Lompy
Józefa Łączyńskiego;Józefa;Łączyńskiego
Józefa Mackiewicza;Józefa;Mackiewicza
Józefa Piłsudskiego;Józefa;Piłsudskiego
Józefa Poniatowskiego;Józefa;Poniatowskiego
Józefa Rotblata;Józefa;Rotblata
Józefa Ryszki;Józefa;Ryszki
Józefa Sowińskiego;Józefa;Sowińskiego
Józefa Strusia;Józefa;Strusia
Józefa Sułkowskiego;Józefa;Sułkowskiego
Józefa Świdra;Józefa;Świdra
Józefa Wybickiego;Józefa;Wybickiego
Juliana Kawalca;Juliana;Kawalca
Juliana Tuwima;Juliana;Tuwima
Juliusza Kossaka;Juliusza;Kossaka
Juliusza Osterwy;Juliusza;Osterwy
Juliusza Słowackiego;Juliusza;Słowackiego
Kaliny Jędrusik;Kaliny;Jędrusik
Kamili Skolimowskiej;Kamili;Skolimowskiej
Kardynała Wyszyńskiego;Kardynała;Wyszyńskiego
Karola Brzostowskiego;Karola;Brzostowskiego
Karola Lipińskiego;Karola;Lipińskiego
Karola Marcinkowskiego;Karola;Marcinkowskiego
Karola Miarki;Karola;Miarki
Karola Szymanowskiego;Karola;Szymanowskiego
Katarzyny Kobro;Katarzyny;Kobro
Kazimierza Dejmka;Kazimierza;Dejmka
Kazimierza Gołby;Kazimierza;Gołby
Kazimierza Ostrowskiego;Kazimierza;Ostrowskiego
Kazimierza Pułaskiego;Kazimierza;Pułaskiego
Kazimierza Zenktelera;Kazimierza;Zenktelera
Klimka Bachledy;Klimka;Bachledy
Konrada Mańki;Konrada;Mańki
Konrada Swinarskiego;Konrada;Swinarskiego
Konstantego Laszczki;Konstantego;Laszczki
Kornela Morawieckiego;Kornela;Morawieckiego
Króla Bolesława Chrobrego;Króla;Bolesława Chrobrego
Króla Kazimierza Wielkiego;Króla;Kazimierza Wielkiego
Króla Przemysła II;Króla;Przemysła II
Króla Władysława Jagiełły;Króla;Władysława Jagiełły
Króla Władysława Łokietka;Króla;Władysława Łokietka
Królowej Bony;Królowej;Bony
Krystyny Krahelskiej;Krystyny;Krahelskiej
Krzysztofa Kolbergera;Krzysztofa;Kolbergera
Krzysztofa Komedy;Krzysztofa;Komedy
Krzysztofa Pendereckiego;Krzysztofa;Pendereckiego
Książąt Czartoryskich;Książąt;Czartoryskich
Książąt Mazowieckich;Książąt;Mazowieckich
Księcia Barnima I;Księcia;Barnima I
Księcia Bolka II Małego;Księcia;Bolka II Małego
Księcia Henryka Pobożnego;Księcia;Henryka Pobożnego
Księcia Janusza I;Księcia;Janusza I
Księcia Mieszka I;Księcia;Mieszka I
Księcia Racibora I;Księcia;Racibora I
Księcia Władysława;Księcia;Władysława
Księdza Brzóski;Księdza;Brzóski
Księdza Popiełuszki;Księdza;Popiełuszki
Księdza Skargi;Księdza;Skargi
Księżnej Anny Mazowieckiej;Księżnej;Anny Mazowieckiej
Księżnej Dąbrówki;Księżnej;Dąbrówki
Lecha Bądkowskiego;Lecha;Bądkowskiego
Lecha Kaczyńskiego;Lecha;Kaczyńskiego
Leona Wyczółkowskiego;Leona;Wyczółkowskiego
Leopolda Staffa;Leopolda;Staffa
Ludomira Różyckiego;Ludomira;Różyckiego
Ludwika Solskiego;Ludwika;Solskiego
Ludwika Waryńskiego;Ludwika;Waryńskiego
Ludwika Zamenhofa;Ludwika;Zamenhofa
Macieja Płażyńskiego;Macieja;Płażyńskiego
Mahatmy Gandhiego;Mahatmy;Gandhiego
Maksymiliana Kolbego;Maksymiliana;Kolbego
Marcina Bielskiego;Marcina;Bielskiego
Mariana Bublewicza;Mariana;Bublewicza
Mariana Rapackiego;Mariana;Rapackiego
Mariana Turwida;Mariana;Turwida
Marii Curie Skłodowskiej;Marii;Curie Skłodowskiej
Marii Dulębianki;Marii;Dulębianki
Marii Konopnickiej;Marii;Konopnickiej
Marii Skłodowskiej-Curie;Marii;Skłodowskiej-Curie
Marka Edelmana;Marka;Edelmana
Marka Kotańskiego;Marka;Kotańskiego
Marszałka Piłsudskiego;Marszałka;Piłsudskiego
Michała Poleskiego;Michała;Poleskiego
Michała Scipio del Campo;Michała;Scipio del Campo
Mieczysława Fogga;Mieczysława;Fogga
Mieczysława Święcickiego;Mieczysława;Święcickiego
Mikołaja Kopernika;Mikołaja;Kopernika
Mikołaja Reja;Mikołaja;Reja
Mikołaja Wierzynka;Mikołaja;Wierzynka
Nikoli Tesli;Nikoli;Tesli
Oddziałów Młodzieży Powstańczej;Oddziałów;Młodzieży Powstańczej
Ojca Bernarda;Ojca;Bernarda
Papcia Chmiela;Papcia;Chmiela
Papieża Jana Pawła II;Papieża;Jana Pawła II
Pawła Adamowicza;Pawła;Adamowicza
